From	To
Q92519	TRIB2
Q9UHY1	NRBP1
Q8N2I9	STK40
O43283	MAP3K13
Q9NRP7	STK36
Q7Z7A4	PXK
Q8TF76	HASPIN
Q9BRS2	RIOK1
Q96LW2	RSKR
Q6VAB6	KSR2
Q99570	PIK3R4
Q9NRH2	SNRK
Q9UQ07	MOK
Q15109	AGER
Q56UN5	MAP3K19
Q9Y616	IRAK3
Q07002	CDK18
Q9NSY1	BMP2K
O94768	STK17B
Q9UK32	RPS6KA6
P15735	PHKG2
P98161	PKD1
Q9H2G2	SLK
O43172	PRPF4
P51948	MNAT1
Q9UIG0	BAZ1B
Q13563	PKD2
Q6DT37	CDC42BPG
P29353	SHC1
P54760	EPHB4
A9UF07	BCR/ABL
P49842	STK19
O00443	PIK3C2A
Q15300	RET/PTC2
Q96QP1	ALPK1
P27986	PIK3R1
Q92772	CDKL2
Q3MIX3	ADCK5
O60307	MAST3
P01236	PRL
P05198	EIF2S1
Q9UQL6	HDAC5
P61978	HNRNPK
Q9UQ13	SHOC2
P15941	MUC1
P35611	ADD1
P14598	NCF1
Q16206	ENOX2
P19429	TNNI3
P15407	FOSL1
O76090	BEST1
Q9H257	CARD9
P05107	ITGB2
P13796	LCP1
Q9HBA0	TRPV4
Q13501	SQSTM1
P05787	KRT8
P04406	GAPDH
Q02297	NRG1
P51398	DAP3
P42224	STAT1
P62753	RPS6
Q99808	SLC29A1
Q14247	CTTN
P98082	DAB2
P17405	SMPD1
P28329	CHAT
P13498	CYBA
P04637	TP53
Q8TCU6	PREX1
P78536	ADAM17
P12830	CDH1
P35568	IRS1
P21730	C5AR1
Q9NRY6	PLSCR3
Q96A00	PPP1R14A
P11413	G6PD
P10588	NR2F6
P23396	RPS3
O14939	PLD2
O95817	BAG3
Q15717	ELAVL1
P35222	CTNNB1
P61073	CXCR4
Q96C90	PPP1R14B
P30273	FCER1G
Q9BZK7	TBL1XR1
P40763	STAT3
O00429	DNM1L
Q09472	EP300
Q01543	FLI1
Q9UQ80	PA2G4
Q96D96	HVCN1
P04040	CAT
O15350	TP73
P52757	CHN2
P30086	PEBP1
Q8IV61	RASGRP3
P38936	CDKN1A
P24588	AKAP5
P35367	HRH1
Q15796	SMAD2
P15036	ETS2
P23677	ITPKA
Q9Y618	NCOR2
Q14654	KCNJ11
Q4G163	FBXO43
P55042	RRAD
P05556	ITGB1
P07101	TH
Q96PM5	RCHY1
O15273	TCAP
P16949	STMN1
O00631	SLN
P14921	ETS1
P35270	SPR
P43003	SLC1A3
P35372	OPRM1
Q9Y496	KIF3A
P46527	CDKN1B
P11831	SRF
Q9Y4D2	DAGLA
Q9BXL7	CARD11
Q92736	RYR2
P08670	VIM
Q01970	PLCB3
O14713	ITGB1BP1
Q96PH1	NOX5
P31645	SLC6A4
P21333	FLNA
P16070	CD44
O43526	KCNQ2
Q14674	ESPL1
Q06210	GFPT1
Q14457	BECN1
O14490	DLGAP1
Q13224	GRIN2B
P42261	GRIA1
P09917	ALOX5
Q04760	GLO1
P37840	SNCA
P10636	MAPT
P41134	ID1
P55055	NR1H2
P51790	CLCN3
Q00613	HSF1
P26678	PLN
O95786	DDX58
P35638	DDIT3
P08473	MME
P41236	PPP1R2
P51636	CAV2
Q01082	SPTBN1
Q9UNN5	FAF1
P35580	MYH10
P30260	CDC27
Q16625	OCLN
Q13148	TARDBP
P32004	L1CAM
P18887	XRCC1
P83916	CBX1
Q15555	MAPRE2
P03372	ESR1
P42892	ECE1
P04004	VTN
Q15287	RNPS1
P35221	CTNNA1
P25490	YY1
P42768	WAS
P25686	DNAJB2
Q8N5B7	CERS5
P55010	EIF5
Q96PX8	SLITRK1
P05114	HMGN1
Q6VY07	PACS1
Q13393	PLD1
P08235	NR3C2
P05412	JUN
P18846	ATF1
Q96FW1	OTUB1
Q9UKD2	MRTO4
Q04724	TLE1
P35226	BMI1
Q9Y6W5	WASF2
O00170	AIP
O14958	CASQ2
Q15003	NCAPH
Q9BSI4	TINF2
P09629	HOXB7
P60983	GMFB
P08195	SLC3A2
Q06787	FMR1
Q9HA82	CERS4
Q14676	MDC1
P06127	CD5
Q13371	PDCL
Q6ZMG9	CERS6
P0DP23	CALM1
Q08945	SSRP1
Q03014	HHEX
Q14005	IL16
Q9UER7	DAXX
Q14940	SLC9A5
P49810	PSEN2
O15266	SHOX
Q9UHH9	IP6K2
P25963	NFKBIA
P32121	ARRB2
P11387	TOP1
O75925	PIAS1
Q9UKX2	MYH2
Q96EB6	SIRT1
P21673	SAT1
P11388	TOP2A
P08833	IGFBP1
P17936	IGFBP3
Q9UQE7	SMC3
P05455	SSB
P10242	MYB
Q13323	BIK
P16220	CREB1
Q9Y5B0	CTDP1
P35579	MYH9
Q9Y4R8	TELO2
Q9NYV6	RRN3
P54252	ATXN3
Q96IZ0	PAWR
Q00987	MDM2
Q9Y365	STARD10
P54274	TERF1
O15259	NPHP1
O14950	MYL12B
P12821	ACE
P49736	MCM2
P49427	CDC34
P50895	BCAM
Q8NE71	ABCF1
P30203	CD6
P07900	HSP90AA1
O75822	EIF3J
P38398	BRCA1
P51946	CCNH
Q92796	DLG3
Q13509	TUBB3
Q04206	RELA
O95905	ECD
P39687	ANP32A
P46531	NOTCH1
Q8TAE8	GADD45GIP1
P11717	IGF2R
P19447	ERCC3
Q92915	FGF14
Q16666	IFI16
Q15084	PDIA6
P00736	C1R
Q9UJU2	LEF1
P20042	EIF2S2
Q712K3	UBE2R2
P29692	EEF1D
P49418	AMPH
P33527	ABCC1
P13569	CFTR
O95477	ABCA1
P09958	FURIN
P41208	CETN2
O43852	CALU
P01106	MYC
P22736	NR4A1
Q9UBF6	RNF7
Q96RL1	UIMC1
Q01831	XPC
P49716	CEBPD
P10646	TFPI
Q15672	TWIST1
Q16623	STX1A
Q99638	RAD9A
Q96HZ4	HES6
Q9ULV4	CORO1C
Q92688	ANP32B
P40337	VHL
P48426	PIP4K2A
P10243	MYBL1
Q06265	EXOSC9
Q92784	DPF3
P56270	MAZ
Q02078	MEF2A
Q9BPX3	NCAPG
Q06609	RAD51
P49321	NASP
P23760	PAX3
P20810	CAST
P14317	HCLS1
Q15653	NFKBIB
Q13829	TNFAIP1
Q9UJY5	GGA1
Q13426	XRCC4
O15379	HDAC3
Q16543	CDC37
Q15019	SEPTIN2
P30305	CDC25B
Q9UMD9	COL17A1
O60341	KDM1A
P61244	MAX
P08238	HSP90AB1
Q15596	NCOA2
P29590	PML
